"line","song_lyrics_url","song_name","artist_name"
"This man fussin' about some damn dominoes","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"It ain’t all that serious, fuck, damn dominoes","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Shit, I'ma miss my damn appointment! Fuck!","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Fuck them damn dominoes, nobody wanna hear that","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Nobody wanna hear yo' ass!","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Matter of fact, cut my motherfuckin' oldies back on","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"You killin' my motherfuckin' vibe","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I am a sinner who's probably gonna sin again","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Lord, forgive me! Lord, forgive me!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Things I don't understand","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Sometimes I need to be alone","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel your energy from two planets away","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I got my drink, I got my music","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I would share it, but today I'm yelling","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe! Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe! Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Look inside of my soul and you can find gold and maybe get rich","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Look inside of your soul and you can find out it never exist","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel the changes","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel a new life, I always knew life can be dangerous","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can say that I like a challenge and you tell me it's painless","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"You don't know what pain is","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"How can I paint this picture","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"When the color blind is hangin' with you?","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Fell on my face and awoke with a scar","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Another mistake livin' deep in my heart","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Wear it on top of my sleeve in a flick","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can admit that it did look like yours","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Why you resent every making of this?","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Tell me your purpose is petty again","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"But even a small lighter can burn a bridge","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Even a small lighter can burn a bridge","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel the changes","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel the new people around me just want to be famous","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"You can see that my city found me","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Then put me on stages, to me that's amazin'","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"To you that's a quick check","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"With all disrespect, let me say this","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I am a sinner who's probably gonna sin again","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Lord, forgive me! Lord, forgive me!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Things I don't understand","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Sometimes I need to be alone","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe! Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel your energy from two planets away","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I got my drink, I got my music","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I would share it, but today I'm yelling","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Bitch, don't kill my vibe! Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
